Codigo,Descricao,Unidade,Icms,Tributacao,Categoria,Ncm,Ean,CstPisS,CstCofinsS,CstIpiS,CstIcmsS,CstPisE,CstCofinsE,CstIpiE,CstIcmsE,IncPisCof,TabPis,TabPis,TabPis,TabCof,TabCof,Tab Cof,Cest
24969,VINHO B CASAL GARCIA SWEET 750ML,UN,0,F,A,22042100,5601100000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
29940,VINHO B CHILE ICE STA CAROLINA 750M,UN,0,F,A,22041090,7804350000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
23474,VINHO B VDE CASAL GARCIA 750ML,UN,4,F,A,22042100,5601100000000,1,1,0,60,50,50,0,60,S,,,0,,,0,202400
37402,VINHO B VERDE PORT CALAMARES 750ML,UN,0,F,A,22042100,5601110000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
23504,VINHO ROSE VDE CASAL GARCIA 750ML,UN,"6,5",F,A,22042100,5601100000000,1,1,0,60,50,50,0,60,S,,,0,,,0,0
37419,VINHO ROSE VERDE PORT CALAMARES 750,UN,0,F,A,22042100,5601110000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
31042,VINHO T BONS VENTOS PORT 750ML,UN,0,F,A,22042100,5604420000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
23528,VINHO T CASAL GARCIA 750ML,UN,"6,5",F,A,22042100,5601100000000,1,1,0,60,50,50,0,60,S,,,0,,,0,202400
23511,VINHO T CASAL GARCIA SWEET RED 750M,UN,0,F,A,22042100,5601100000000,1,1,0,60,50,50,0,60,S,,,0,,,0,0
41119,VINHO T COCHA Y TORO CARMENERE 750M,UN,0,F,A,22042100,7804320000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
38935,VINHO T CONCHA Y TORO MALBEC 750ML,UN,0,F,A,22042100,7798040000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
39697,VINHO T CONEJITO SAUVIGNON 750ML,UN,0,F,A,22042100,7898240000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
24952,VINHO T ESCAROT SINGLE GARNACHA 750,UN,0,F,A,22042100,8437000000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
39703,VINHO T LOS PASOS CABERNET 750ML,UN,0,F,A,22042100,7798080000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
37396,VINHO T NOVECENTO CABERNET 750ML,UN,0,F,A,22042100,7790720000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
43779,VINHO T SECO ANGARO MALBEC 750ML,UN,0,F,A,22042100,7798080000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
43793,VINHO T SECO NUVIANA TEMPRAN 750ML,UN,0,F,A,22042100,8410010000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
43786,VINHO T SEMI SECO JP CHENET 750ML,UN,0,F,A,22042100,3263290000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
26000,VINHO T TRAPICHE VINEYARDS 750M,UN,0,F,A,22042100,7790240000000,1,1,0,60,50,50,49,60,S,,,0,,,0,202400
